position,lizard_id,trt,sex,test,clutch,hatch_date,date_first_trial,date_euthanasia,age_trial,age_euthanasia,trial,m_start,s_start,m_0,s_0,m_d,s_d,t_start,moment_0,moment_D,t_0,t_D,motivation,Id_flow
A1,1946,B_23,m,CC,CL528_22,3/2/2023,23/9/2023,6/11/2023,232,276,1,0,32,1,32,2,14,32,92,134,60,42,0,8
A1,1946,B_23,m,TC,CL528_22,3/2/2023,23/9/2023,6/11/2023,232,276,2,1,23,2,9,6,45,83,129,405,46,276,1,8
A1,1946,B_23,m,CV,CL528_22,3/2/2023,23/9/2023,6/11/2023,232,276,3,0,0,0,46,8,57,0,46,537,46,491,1,8
A1,1946,B_23,m,TV,CL528_22,3/2/2023,23/9/2023,6/11/2023,232,276,4,0,47,1,12,5,17,47,72,317,25,245,1,8
A1,2253,A_23,f,CV,CL606_22,24/2/2023,23/9/2023,6/11/2023,211,255,1,0,32,1,3,7,27,32,63,447,31,384,0,3
A1,2253,A_23,f,CC,CL606_22,24/2/2023,23/9/2023,6/11/2023,211,255,2,1,19,1,45,9,38,79,105,578,26,473,0,3
A1,2253,A_23,f,TV,CL606_22,24/2/2023,23/9/2023,6/11/2023,211,255,3,0,0,0,21,5,20,0,21,320,21,299,0,3
A1,2253,A_23,f,TC,CL606_22,24/2/2023,23/9/2023,6/11/2023,211,255,4,0,42,1,25,39,42,42,85,2382,43,2297,1,3
A1,2318,A_28,m,TC,CL625_23,10/2/2023,23/9/2023,6/11/2023,225,269,1,0,35,1,14,30,32,35,74,1832,39,1758,1,2
A1,2318,A_28,m,TV,CL625_23,10/2/2023,23/9/2023,6/11/2023,225,269,2,1,19,1,53,4,36,79,113,276,34,163,1,2
A1,2318,A_28,m,CC,CL625_23,10/2/2023,23/9/2023,6/11/2023,225,269,3,0,0,0,40,8,13,0,40,493,40,453,1,2
A1,2318,A_28,m,CV,CL625_23,10/2/2023,23/9/2023,6/11/2023,225,269,4,0,42,0,58,9,24,42,58,564,16,506,1,2
A1,2345,B_28,m,TV,CL632_23,13/2/2023,23/9/2023,6/11/2023,222,266,1,0,32,1,0,2,54,32,60,174,28,114,1,6
A1,2345,B_28,m,CV,CL632_23,13/2/2023,23/9/2023,6/11/2023,222,266,2,1,23,2,3,6,17,83,123,377,40,254,1,6
A1,2345,B_28,m,TC,CL632_23,13/2/2023,23/9/2023,6/11/2023,222,266,3,0,0,0,11,6,32,0,11,392,11,381,1,6
A1,2345,B_28,m,CC,CL632_23,13/2/2023,23/9/2023,6/11/2023,222,266,4,0,47,1,20,3,21,47,80,201,33,121,1,6
A2,2239,B_28,m,CV,CL603_22,8/2/2023,23/9/2023,8/11/2023,227,273,1,0,51,0,59,3,0,51,59,180,8,121,0,28
A2,2239,B_28,m,TC,CL603_22,8/2/2023,23/9/2023,8/11/2023,227,273,2,1,47,2,0,10,1,107,120,601,13,481,1,28
A2,2239,B_28,m,TV,CL603_22,8/2/2023,23/9/2023,8/11/2023,227,273,3,0,17,0,24,1,45,17,24,105,7,81,1,28
A2,2239,B_28,m,CC,CL603_22,8/2/2023,23/9/2023,8/11/2023,227,273,4,1,2,1,13,4,30,62,73,270,11,197,1,28
A2,2240,A_28,m,TV,CL603_22,8/2/2023,23/9/2023,8/11/2023,227,273,1,0,55,1,7,1,15,55,67,75,12,8,1,24
A2,2240,A_28,m,CC,CL603_22,8/2/2023,23/9/2023,8/11/2023,227,273,2,1,43,1,57,2,27,103,117,147,14,30,1,24
A2,2240,A_28,m,TC,CL603_22,8/2/2023,23/9/2023,8/11/2023,227,273,3,0,13,0,14,1,2,13,14,62,1,48,1,24
A2,2240,A_28,m,CV,CL603_22,8/2/2023,23/9/2023,8/11/2023,227,273,4,0,59,1,10,2,17,59,70,137,11,67,1,24
A2,2300,A_23,m,CC,CL620_23,24/2/2023,23/9/2023,8/11/2023,211,257,1,0,35,1,14,1,40,35,74,100,39,26,0,26
A2,2300,A_23,m,TV,CL620_23,24/2/2023,23/9/2023,8/11/2023,211,257,2,1,43,2,5,2,23,103,125,143,22,18,1,26
A2,2300,A_23,m,CV,CL620_23,24/2/2023,23/9/2023,8/11/2023,211,257,3,0,13,0,46,0,52,13,46,52,33,6,1,26
A2,2300,A_23,m,TC,CL620_23,24/2/2023,23/9/2023,8/11/2023,211,257,4,0,59,3,5,3,32,59,185,212,126,27,1,26
A3,1180,A_23,m,TV,CL315_22,9/12/2022,23/9/2023,10/11/2023,288,336,1,1,52,2,22,3,40,112,142,220,30,78,0,55
A3,1180,A_23,m,CV,CL315_22,9/12/2022,23/9/2023,10/11/2023,288,336,2,2,29,3,38,6,56,149,218,416,69,198,0,55
A3,1180,A_23,m,CC,CL315_22,9/12/2022,23/9/2023,10/11/2023,288,336,3,1,26,2,20,7,50,86,140,470,54,330,0,55
A3,1180,A_23,m,TC,CL315_22,9/12/2022,23/9/2023,10/11/2023,288,336,4,1,49,2,46,9,14,109,166,554,57,388,NA,55
A3,2212,B_28,m,TC,CL596_22,3/2/2023,23/9/2023,10/11/2023,232,280,1,1,58,2,29,4,12,118,149,252,31,103,1,56
A3,2212,B_28,m,TV,CL596_22,3/2/2023,23/9/2023,10/11/2023,232,280,2,2,32,3,0,3,12,152,180,192,28,12,1,56
A3,2212,B_28,m,CV,CL596_22,3/2/2023,23/9/2023,10/11/2023,232,280,3,1,29,1,41,1,42,89,101,102,12,1,1,56
A3,2212,B_28,m,CC,CL596_22,3/2/2023,23/9/2023,10/11/2023,232,280,4,1,52,2,4,4,30,112,124,270,12,146,1,56
A3,2252,B_23,f,TC,CL606_22,24/2/2023,23/9/2023,10/11/2023,211,259,1,1,51,2,44,3,5,111,164,185,53,21,1,51
A3,2252,B_23,f,CV,CL606_22,24/2/2023,23/9/2023,10/11/2023,211,259,2,2,29,2,50,4,39,149,170,279,21,109,1,51
A3,2252,B_23,f,CC,CL606_22,24/2/2023,23/9/2023,10/11/2023,211,259,3,1,26,1,55,2,47,86,115,167,29,52,1,51
A3,2252,B_23,f,TV,CL606_22,24/2/2023,23/9/2023,10/11/2023,211,259,4,1,49,3,25,5,14,109,205,314,96,109,1,51
A4,2296,A_23,f,TC,CL618_23,27/2/2023,23/9/2023,14/11/2023,208,260,1,1,34,4,46,5,35,94,286,335,192,49,1,79
A4,2296,A_23,f,CC,CL618_23,27/2/2023,23/9/2023,14/11/2023,208,260,2,2,7,3,8,4,1,127,188,241,61,53,1,79
A4,2296,A_23,f,TV,CL618_23,27/2/2023,23/9/2023,14/11/2023,208,260,3,1,3,2,13,2,53,63,133,173,70,40,1,79
A4,2296,A_23,f,CV,CL618_23,27/2/2023,23/9/2023,14/11/2023,208,260,4,1,26,2,55,4,16,86,175,256,89,81,1,79
A4,2368,B_23,m,CC,CL637_23,3/3/2023,23/9/2023,14/11/2023,204,256,1,1,37,5,9,7,57,97,309,477,212,168,1,78
A4,2368,B_23,m,CV,CL637_23,3/3/2023,23/9/2023,14/11/2023,204,256,2,2,10,2,51,3,33,130,171,213,41,42,1,78
A4,2368,B_23,m,TC,CL637_23,3/3/2023,23/9/2023,14/11/2023,204,256,3,1,7,2,10,4,14,67,130,254,63,124,1,78
A4,2368,B_23,m,TV,CL637_23,3/3/2023,23/9/2023,14/11/2023,204,256,4,1,30,2,34,3,31,90,154,211,64,57,1,78
A4,2477,A_28,f,CC,CL676_23,24/2/2023,23/9/2023,14/11/2023,211,263,1,1,34,2,11,7,40,94,131,460,37,329,1,76
A4,2477,A_28,f,TC,CL676_23,24/2/2023,23/9/2023,14/11/2023,211,263,2,2,7,2,15,5,50,127,135,350,8,215,1,76
A4,2477,A_28,f,TV,CL676_23,24/2/2023,23/9/2023,14/11/2023,211,263,3,1,3,1,5,2,16,63,65,136,2,71,1,76
A4,2477,A_28,f,CV,CL676_23,24/2/2023,23/9/2023,14/11/2023,211,263,4,1,26,1,39,3,28,86,99,208,13,109,1,76
A4,2494,B_28,f,CV,CL680_23,24/2/2023,23/9/2023,14/11/2023,211,263,1,1,37,2,35,46,26,97,155,2786,58,2631,1,77
A4,2494,B_28,f,CC,CL680_23,24/2/2023,23/9/2023,14/11/2023,211,263,2,2,10,2,25,2,33,130,145,153,15,8,1,77
A4,2494,B_28,f,TC,CL680_23,24/2/2023,23/9/2023,14/11/2023,211,263,3,1,7,1,27,2,13,67,87,133,20,46,1,77
A4,2494,B_28,f,TV,CL680_23,24/2/2023,23/9/2023,14/11/2023,211,263,4,1,30,1,46,2,25,90,106,145,16,39,1,77
