plate,Id_flow,region,tube_no,n_sampled_cells,mean_autofluo,mean_mitodensity,mean_nucl,mean_size,mean_potential,mean_ros,mean_complexity
1,1,OB,1,1062,3.026640199,3.300392396,2.734167599,3.719434937,3.063228277,3.771031366,3.491066382
1,1,OB,2,1571,3.01576405,2.715573542,2.694546518,3.191356245,2.764967867,3.398919995,3.086908415
1,2,OB,1,2665,3.319312402,1.820169008,2.671065299,3.695830827,1.917888003,2.610879312,3.511085655
1,2,OB,2,4000,3.220586683,1.782945606,2.691822183,3.594778658,1.895132543,2.535084528,3.415073153
1,3,OB,1,2378,3.013689284,3.084158172,2.701191644,3.752628865,2.791899121,3.165663734,3.540249485
1,3,OB,2,1938,3.057734308,3.449774071,2.717031403,4.003076003,3.345722018,3.918219598,3.818449851
1,4,OB,1,2309,3.306108016,2.15523547,2.657403185,3.794481433,2.214948507,2.720000293,3.580691374
1,4,OB,2,4501,3.143311986,3.322686095,2.63240413,3.708117109,3.224947013,3.817026181,3.479876496
1,5,OB,1,9178,3.196644668,3.149322418,2.648215794,3.5700744,3.10569463,3.672005692,3.380457863
1,5,OB,2,7461,3.242836895,3.328072738,2.656669963,3.700560956,3.268517465,3.872690406,3.504725938
1,6,OB,1,1053,2.568720326,2.927002178,3.089155167,3.844360135,2.812882888,3.326444639,3.394712567
1,6,OB,2,1279,2.668713115,2.842467803,2.967118407,3.904362136,2.835605894,3.339540291,3.478221411
1,7,OB,1,849,2.583298372,2.854159978,2.962625957,3.911561335,2.794062719,3.324129439,3.490585508
1,7,OB,2,472,2.558787773,2.611101554,2.821053645,3.927078939,2.64453819,3.23779327,3.456555783
1,8,OB,1,5821,2.727197498,2.547042844,2.745239624,4.068766222,2.872640958,3.346547776,3.599181198
1,8,OB,2,5519,2.659155101,2.985142035,2.807511503,4.078116441,3.005300141,3.491034817,3.61526318
2,9,OB,1,420,1.389021847,2.690715958,2.597311278,3.123335909,2.840595568,1.763023886,2.065946614
2,9,OB,2,337,1.804459113,2.456210428,2.738839077,3.115577683,2.821477005,2.073119768,2.26779374
2,10,OB,1,1192,2.39668753,3.433963095,2.582176396,3.548477729,4.300994649,3.452581537,3.030368254
2,10,OB,2,580,2.946150104,3.79827261,2.610329463,3.962954119,4.311363278,4.033355604,3.544760808
2,11,OB,1,1959,2.959405087,3.735849022,2.601331292,3.832686583,4.37268521,4.053283026,3.529357926
2,11,OB,2,2535,2.984039646,3.684535955,2.618824468,3.759170473,4.347635913,4.08635784,3.485325655
2,12,OB,1,3997,2.950891172,3.841114179,2.621617183,4.035045838,4.621659827,4.060005862,3.737535627
