specimen,n_nucleated_cells,n_sampled_cells,mean_dnadamage,mean_peroxidation,mean_size,CV_dnadamage,CV_peroxidation,CV_size,region,plate,Id_flow,tube_no
002_B1_B01_007.fcs,21847,5038,303,1038,4348,58.2,119,81.5,OB,1,1,1
002_B2_B02_008.fcs,14974,4049,440,1021,4248,92.6,127,80.3,OB,1,1,2
003_B3_B03_009.fcs,17024,4431,400,1276,4691,71.4,211,121,OB,1,2,1
003_B4_B04_010.fcs,16064,3980,503,1211,4738,62,199,110,OB,1,2,2
004_B5_B05_011.fcs,15875,5183,445,1221,4488,72.5,174,84.1,OB,1,3,1
004_B6_B06_012.fcs,17600,4337,534,1380,5175,83.8,219,96.1,OB,1,3,2
005_C1_C01_013.fcs,19674,7173,585,2037,5154,83.8,337,121,OB,1,4,1
005_C2_C02_014.fcs,18169,6197,545,2336,5080,108,326,142,OB,1,4,2
006_C3_C03_015.fcs,16205,3982,464,1538,5212,99.8,327,118,OB,1,5,1
006_C4_C04_016.fcs,15173,4763,527,1243,4657,85.2,221,97,OB,1,5,2
007_C5_C05_017.fcs,15284,3944,536,1149,4393,116,159,89.8,OB,1,6,1
007_C6_C06_018.fcs,14056,3631,481,1151,4263,134,172,99.8,OB,1,6,2
008_D1_D01_019.fcs,15558,4567,477,934,4268,111,109,67.7,OB,1,7,1
008_D2_D02_020.fcs,15394,3685,570,947,4201,106,112,71.5,OB,1,7,2
009_D3_D03_021.fcs,22135,7135,500,1960,5806,95.3,298,129,OB,1,8,1
009_D4_D04_022.fcs,21053,7119,402,2166,5795,113,286,148,OB,1,8,2
010_D5_D05_023.fcs,14751,4298,481,1148,4168,97,163,88,OB,1,9,1
010_D6_D06_024.fcs,14064,3742,492,1050,4193,114,135,74.7,OB,1,9,2
011_E1_E01_025.fcs,16817,4452,441,1172,4665,95.3,171,72.6,OB,1,10,1
011_E2_E02_026.fcs,14292,4385,476,1269,4225,128,199,94.2,OB,1,10,2
012_E3_E03_027.fcs,20869,7245,427,1686,4259,84.4,228,82.8,OB,1,11,1
012_E4_E04_028.fcs,20692,6347,434,1775,4340,165,258,93.2,OB,1,11,2
013_E5_E05_029.fcs,18945,5181,477,1622,5471,114,293,115,OB,1,12,1
013_E6_E06_030.fcs,17196,4829,480,1567,5058,93.4,298,113,OB,1,12,2
014_F1_F01_031.fcs,15977,4593,459,1156,4184,93,155,105,OB,1,13,1
014_F2_F02_032.fcs,17151,5086,414,1196,4736,132,167,103,OB,1,13,2
015_F3_F03_033.fcs,17442,4987,517,1064,4433,110,138,100,OB,1,14,1
015_F4_F04_034.fcs,14296,3685,400,1074,4342,123,154,114,OB,1,14,2
016_F5_F05_035.fcs,17281,4274,472,1039,4491,130,126,86,OB,1,15,1
016_F6_F06_036.fcs,16177,3694,484,1014,4882,187,127,70.5,OB,1,15,2
017_G1_G01_037.fcs,19426,5275,420,1618,6128,128,325,129,OB,1,16,1
017_G2_G02_038.fcs,17915,5493,483,1619,5412,153,313,136,OB,1,16,2
018_G3_G03_039.fcs,18799,6067,432,1482,5062,102,253,132,OB,1,17,1
018_G4_G04_040.fcs,16787,5715,525,1304,4854,102,213,103,OB,1,17,2
019_G5_G05_041.fcs,19503,7226,503,1770,5116,114,291,134,OB,1,18,1
019_G6_G06_042.fcs,17109,5612,464,1800,5141,93.5,318,160,OB,1,18,2
020_H1_H01_043.fcs,21093,6075,396,1511,5332,83.7,272,120,OB,1,19,1
020_H2_H02_044.fcs,19966,5528,465,1572,5507,119,273,119,OB,1,19,2
021_H3_H03_045.fcs,17234,4695,526,1163,5098,121,185,95.2,OB,1,20,1
021_H4_H04_046.fcs,14761,4000,436,1209,4682,134,202,113,OB,1,20,2
002_B1_B01_007.fcs,16469,4967,300,1082,NA,NA,NA,NA,OB,2,21,1
002_B2_B02_008.fcs,16280,5066,300,1231,NA,171,178,NA,OB,2,21,2
003_B3_B03_009.fcs,17053,5690,340,1376,NA,212,216,NA,OB,2,22,1
003_B4_B04_010.fcs,16144,5672,363,1422,NA,197,207,NA,OB,2,22,2
004_B5_B05_011.fcs,15038,4922,354,1127,NA,167,157,NA,OB,2,23,1
004_B6_B06_012.fcs,14403,4477,276,1155,NA,188,173,NA,OB,2,23,2
005_C1_C01_013.fcs,16990,5693,290,1121,NA,163,134,NA,OB,2,24,1
005_C2_C02_014.fcs,17648,5694,294,1109,NA,172,130,NA,OB,2,24,2
